ID,FIRSTNAME,LASTNAME,EMAIL
1,ian,clark,ian.clark@me.com
2,hank,jackson,hank.jackson@msn.com
3,hank,green,hank.green@gmail.com
4,leah,carter,leah.carter@msn.com
5,brian,williams,   brian.williams@gmail.com
6,ed,allen,ed.allen@hotmail.com
7,francis,parker,francis.parker@freemail.com
8,kayla,jones,kayla.jones@gmail.com
9,earl,nelson,earl.nelson@me.com
10,gerald,evans,gerald.evans@msn.com
11,ed,rodriguez,ed.rodriguez@gmail.com
12,walden,evans,walden.evans@me.com
13,aaron,clark,aaron.clark@gmail.com
14,gregg,johnson,gregg.johnson@msn.com
15,harold,wilson,harold.wilson@msn.com
16,stanly,lewis,stanly.lewis@yahoo.com
17,chad,turner,chad.turner@gmail.com
18,cecil,,cecil.rodriguez@yahoo.com   
19,lee,nelson,lee.nelson@hotmail.com
20,evan,moore,evan.moore@msn.com
21,gregg,lee,gregg.lee@yahoo.com
22,stanly,lewis,stanly..ail.com
23,kayla,lee,kayla.lee     @ me.com
24,tim,campbell,tim.campbell@me.com
25,andre,garcia,andre.garcia@freemail.com
26,baron,thomas,baron.thomas@gmail.com
27,orton,lewis,orton.lewis@msn.com
28,darren,lopez,darren.lopez@yahoo.com
29,quinton,thomas,quinton.thomas@hotmail.com
30,alex,hernandez,alex.hernandez@gmail.com
31,clark,sanchez,clark.sanchez@freemail.com
32,noel,parker,noel.parker@hotmail.com
33,baron,walker,baron.walker@me.com
34,tyler,rodriguez,tyler.rodriguez@yahoo.com
35,noel,lewis,noel.lewis@freemail.com
36,maylene,wright,maylene.wright@msn.com
37,aaron,martinez,aaron.martinez@yahoo.com
38,chad,hill,chad.hill@msn.com
39,,lewis,orton.lewis@hotmail.com
40,albert,allen,albert.allen@freemail.com
41,hank,gonzalez,hank.gonzalez[at]me.com
42,frank,lee,frank.lee@yahoo.com'; DELETE FROM PEOPLE WHERE 1=1
43,martin,wright,martin.wright@msn.com
44,greg,allen,greg.allen@yahoo.com
45,walden,jackson,walden.jackson@freemail.com
46,stephan,edwards,stephan.edwards@yahoo.com
47,walton,stewart,walton.stewart@freemail.com
48,ian,miller,ian.miller@gmail.com
49,lee,edwards,lee.edwards@freemail.com
50,tim,stewart,tim.stewart@gmail.com
